,Estimator,Sample number,True MI,Estimate,Ambient dimensions,Intrinsic dimensions
1608,InfoNCE,1000,1,-2.7837841075093865,25,2
1609,LMI,1000,1,0.9000040839018637,25,2
1610,MINE,1000,1,-0.8903232266396051,25,2
1611,KSG,1000,1,0.19018603434097686,25,2
1612,InfoNCE,1000,1,-3.3576448100187513,37,3
1613,LMI,1000,1,0.577514970230108,37,3
1614,MINE,1000,1,0.3334827871728782,37,3
1615,KSG,1000,1,0.24651859758327052,37,3
1616,InfoNCE,1000,1,-6.076299775576995,50,5
1617,LMI,1000,1,0.5694333356500374,50,5
1618,MINE,1000,1,-0.6817509228404321,50,5
1619,KSG,1000,1,0.0928189185956204,50,5
1620,InfoNCE,2000,1,0.9580211014640341,1,1
1621,LMI,2000,1,1.0126012342602342,1,1
1622,MINE,2000,1,1.0540957697155249,1,1
1623,KSG,2000,1,0.945675953371689,1,1
1624,InfoNCE,2000,1,0.4496637751540891,13,1
1625,LMI,2000,1,0.9885725618160107,13,1
1626,MINE,2000,1,0.7684425616261498,13,1
1627,KSG,2000,1,0.4321823656805163,13,1
1628,InfoNCE,2000,1,-0.09165299429780797,25,2
1629,LMI,2000,1,0.850892675365144,25,2
1630,MINE,2000,1,0.5696263176624714,25,2
1631,KSG,2000,1,0.26501494276549786,25,2
1632,InfoNCE,2000,1,0.14632627900709486,37,3
1633,LMI,2000,1,0.7263972446634789,37,3
1634,MINE,2000,1,0.5496223276100147,37,3
1635,KSG,2000,1,0.19751167950254314,37,3
1636,InfoNCE,2000,1,-0.3145129288000596,50,5
1637,LMI,2000,1,0.5683502734468139,50,5
1638,MINE,2000,1,0.5283996684935441,50,5
1639,KSG,2000,1,0.1468379527110484,50,5
1640,InfoNCE,3000,1,0.9289422748561504,1,1
1641,LMI,3000,1,0.9603048145860501,1,1
1642,MINE,3000,1,0.9947624430984594,1,1
1643,KSG,3000,1,0.9451579125743207,1,1
1644,InfoNCE,3000,1,0.7991593510008509,13,1
1645,LMI,3000,1,0.9723952418439992,13,1
1646,MINE,3000,1,0.8547683933134823,13,1
1647,KSG,3000,1,0.42162426270130876,13,1
1648,InfoNCE,3000,1,0.48387456406371904,25,2
1649,LMI,3000,1,0.8363096428015712,25,2
1650,MINE,3000,1,0.7842304829840302,25,2
1651,KSG,3000,1,0.2817110946672622,25,2
1652,InfoNCE,3000,1,0.28864536224908627,37,3
1653,LMI,3000,1,0.8186795010012894,37,3
1654,MINE,3000,1,0.7858224403917418,37,3
1655,KSG,3000,1,0.25553213175688977,37,3
1656,InfoNCE,3000,1,0.009430152712109523,50,5
1657,LMI,3000,1,0.6597677513348418,50,5
1658,MINE,3000,1,0.48643160211674724,50,5
1659,KSG,3000,1,0.14258124510459017,50,5
1660,InfoNCE,4000,1,1.0401634551691288,1,1
1661,LMI,4000,1,1.0678550384415197,1,1
1662,MINE,4000,1,0.9793190889815826,1,1
1663,KSG,4000,1,1.0583406446294061,1,1
1664,InfoNCE,4000,1,0.8658927471192414,13,1
1665,LMI,4000,1,0.9367077407461535,13,1
1666,MINE,4000,1,0.9047691673728029,13,1
1667,KSG,4000,1,0.4385844508383974,13,1
1668,InfoNCE,4000,1,0.6599029348054244,25,2
1669,LMI,4000,1,0.9042130897461278,25,2
1670,MINE,4000,1,0.8508820153606099,25,2
1671,KSG,4000,1,0.29213588526772555,25,2
1672,InfoNCE,4000,1,0.5145858499935925,37,3
1673,LMI,4000,1,0.743570679559966,37,3
1674,MINE,4000,1,0.6674435141325042,37,3
1675,KSG,4000,1,0.18135425520125473,37,3
1676,InfoNCE,4000,1,0.39745190614395076,50,5
1677,LMI,4000,1,0.6647324030010877,50,5
1678,MINE,4000,1,0.5916798249652603,50,5
1679,KSG,4000,1,0.11676489658745134,50,5
1680,InfoNCE,5000,1,0.9679912796998529,1,1
1681,LMI,5000,1,1.0276544441144027,1,1
1682,MINE,5000,1,0.9747337735356039,1,1
1683,KSG,5000,1,1.0200735302513775,1,1
1684,InfoNCE,5000,1,0.8687779280701158,13,1
1685,LMI,5000,1,0.9254144789275771,13,1
1686,MINE,5000,1,0.8762329460283914,13,1
1687,KSG,5000,1,0.4723490179408368,13,1
1688,InfoNCE,5000,1,0.8286069084121844,25,2
1689,LMI,5000,1,0.8789182562371941,25,2
1690,MINE,5000,1,0.8588991586132306,25,2
1691,KSG,5000,1,0.310295569260031,25,2
1692,InfoNCE,5000,1,0.7000368062107694,37,3
1693,LMI,5000,1,0.7929930296071627,37,3
